gene	log2fc	pval
CDKN2D	-2.07	0.0126417
GRIK2	3.59	0.0126445
FAM212B-AS1	3.16	0.0126519
POM121L8P	3.01	0.0126687
APBA1	2.09	0.0126958
IFNA10	2.88	0.0127693
LOC101929681	2.48	0.0127828
ADAM12	2.11	0.0127859
TEX29	2.43	0.0127924
DMP1	1.98	0.0127958
ERICH5	3.7	0.0128165
NEK2	-2.56	0.0128182
COBLL1	-3.15	0.0128881
SCML4	-2.54	0.0128988
LINC00302	-2.23	0.0129003
GFI1	2.24	0.0129081
CASR	2.99	0.0129208
HOXC11	3.4	0.0129291
ANO6	2.64	0.0129507
LOC101927228	-2.7	0.0129515
DYNLRB1	2.2	0.0129538
SDR42E1	2.12	0.0130648
LOC101928902	2.81	0.0130785
NAV2	2.87	0.0131004
ADGRB1	2.29	0.0131193
LCMT1-AS2	2.51	0.0131401
HBBP1	4.18	0.0131449
CYB5R1	1.96	0.0132126
LOC152225	3.12	0.0132223
TMEM52	2.62	0.0132319
COL3A1	-2.35	0.0132469
DEPDC1	2.87	0.0132544
SCGB1D2	-3.99	0.01326
FAM46C	1.94	0.013316
LOC400620	3.68	0.0133329
TRPC5	2.67	0.0133586
KRT38	2.98	0.0133705
LOC105375531	2.99	0.0133778
TMEM161A	2.11	0.0133819
LOC100996671	-3.31	0.0133887
IFIH1	-3.06	0.0134099
EIF5A	2.95	0.0134435
CNBD1	-2.7	0.0134559
TBX6	2.15	0.013465
SPRY3	2.15	0.0134739
SFRP2	-3.02	0.0134846
PLK3	2.62	0.0135135
PITRM1	2.92	0.0135172
LOC101928457	2.89	0.013546
HMGB4	2.85	0.0135462
LINC01282	-2.47	0.0135598
CC2D2A	-2.83	0.013607
TPO	-2.11	0.0136162
PDSS1	2.43	0.0136548
ACTN1	2.33	0.0136577
LINC00965	-2.43	0.0136682
ZBBX	-3.35	0.0136699
EPS8L1	-2.7	0.013675
GTF3C2-AS1	3.63	0.0136847
CCDC7	2.7	0.0137452
PFDN4	2.65	0.013747
TFB2M	4.26	0.0137545
DPT	1.93	0.013804
LOC105371226	-2.33	0.0138432
CCND2	3.89	0.0138674
SLC6A19	-2.32	0.0138749
HSPA9	2.92	0.01388
PKDREJ	-2.62	0.0138881
LINC00687	-2.82	0.0138938
CFTR	4.1	0.013904
VILL	-2.29	0.0139058
SOAT2	1.94	0.0139191
LOC101927603	1.89	0.0139301
LETM2	2.62	0.0139393
EXOG	-2.14	0.0140142
TSPEAR-AS2	3.15	0.0140273
GSG1	-2.94	0.0140811
CXCR3	-1.92	0.0140993
MMP1	-2.7	0.0141
NLRP9	2.16	0.0141458
STAG3	1.86	0.0141483
FAM83A	2.65	0.014171
SH2D1A	-2.4	0.0141734
ETV4	2.3	0.0141973
GNA14	1.92	0.0141976
GPC1	3.08	0.0142034
FLVCR2	-2.05	0.014208
PSIP1	1.94	0.0142267
