gene	log2fc	pval
LOC101929536	2.48	0.0143237
CASC2	3.7	0.0143788
NPSA	3.37	0.0143825
NME7	1.86	0.0144225
DPPA2	2.58	0.014423
MFSD2A	2.46	0.014478
MZF1	2.11	0.0144861
PTGER3	-2.05	0.0144978
DENND1A	3.37	0.0145648
C15ORF62	3.96	0.0146106
AKAP12	1.95	0.0146249
HTR3B	3.33	0.0146285
TPP1	-2.04	0.0146481
CMBL	2.33	0.014735
BTG4	-1.94	0.014768
MAGEA12	-3.21	0.0148056
CYP3A4	2.42	0.0148078
GAN	2.52	0.014838
FKBP3	2.12	0.0148402
PPP2R2A	-2.52	0.0148654
ZKSCAN7	2.18	0.014952
SCNN1G	5.26	0.0149589
GRAP	-2.02	0.0149782
FLT1	1.95	0.0150038
ULBP1	1.94	0.0150545
LOC105372607	2.77	0.0150625
IGF1R	-1.93	0.0150692
LINC01365	-2.19	0.0150757
FAM163A	1.88	0.0150877
SMG6	3.13	0.0150899
IFNA16	2.21	0.0150916
STAP1	2.39	0.0150916
HACD1	2.2	0.0151263
KIAA1652	2.82	0.015155
ZSCAN4	-2.62	0.015208
F13B	2.88	0.0152193
ZIK1	1.86	0.0152294
DDR1-AS1	1.85	0.015232
FKBP4	1.99	0.0152557
RECQL5	-2.63	0.0152613
EFNB3	2.23	0.015308
CXXC1P1	3.25	0.0153356
PTPN11	2.0	0.0153412
LOC401463	2.23	0.0153611
MIA	2.15	0.0153956
KITLG	-2.09	0.0154245
BCAT2	-1.99	0.0154267
IGHV3-75	3.02	0.0154444
SQSTM1	1.89	0.0154891
PAX3	-2.36	0.0154951
MRVI1-AS1	1.85	0.0154991
ARMC9	1.89	0.0155148
DPPA5	1.83	0.0155627
FBXO36	-2.29	0.0155946
BEND4	-1.92	0.0156313
ZADH2	3.23	0.0156859
ANXA10	3.45	0.0156963
SLC19A1	-2.27	0.0157067
FIGLA	2.07	0.0157221
CT55	-2.46	0.0157912
OAS3	-2.65	0.0157934
GTSE1-AS1	1.97	0.0157996
ZMIZ2	-1.87	0.015857
GH1	-1.93	0.0158828
PCA3	1.94	0.0158971
MUC15	-2.54	0.0159212
TMEM232	-1.84	0.0159572
FOXP4-AS1	2.45	0.015962
POLE	2.52	0.0159644
CYBB	-2.1	0.0159872
CCL2	2.31	0.0160053
LOC105377776	2.86	0.0160228
LOC157273	2.15	0.0160315
LOC101928231	2.35	0.016048
VPS33A	1.96	0.0160685
LOC100286922	-1.8	0.0160807
GABRG3-AS1	3.1	0.0160901
L2HGDH	3.51	0.0161291
FHL5	-1.89	0.016135
ZNF341	3.54	0.0161524
KCNJ1	-3.04	0.0161708
LOC389834	1.88	0.0161944
CST5	-3.2	0.0162022
KLHL36	1.8	0.016204
SSTR4	-2.8	0.0162863
DLGAP1-AS2	-2.13	0.0163072
FRMD8	2.51	0.0163173
BICDL1	2.62	0.0163496
MCOLN3	-1.88	0.0163887
SIGLEC11	2.13	0.0164331
SHOX2	2.54	0.0164504
LOC100505784	3.35	0.0164566
ABHD5	-1.93	0.0165127
AVPR2	-2.54	0.0165258
TRIM8	2.34	0.0165271
TYRO3P	2.36	0.0165478
IZUMO2	-2.89	0.0165672
SCD5	2.56	0.0165675
C7ORF33	1.84	0.0165678
C6ORF118	1.93	0.0165866
PLA2G4F	1.86	0.016592
SLC2A4RG	-2.4	0.0166214
RSU1	2.5	0.0166892
FGF3	1.81	0.0166972
TCP11	3.3	0.0167227
LINC01362	2.49	0.0167433
C3ORF20	1.79	0.0167878
ARTN	3.48	0.0167986
KCNK3	2.68	0.0168009
BCL2L14	2.19	0.0168654
SLAMF1	2.62	0.0168685
TNNC2	2.75	0.0168964
HNMT	-1.95	0.0168979
PKNOX2	-1.91	0.0169207
SLC7A2	3.77	0.0169405
SLC30A6	-2.36	0.0169556
IFI27	-2.59	0.0169686
GNG4	3.03	0.0169787
PEAK1	1.83	0.0170224
BRIP1	2.41	0.0170657
CDKN2B	1.96	0.0170681
GPX3	-2.68	0.0170693
RBPMS2	2.09	0.0170967
PSMD9	2.4	0.0171026
SEC14L2	-2.59	0.0171034
MARCH11	2.17	0.0171326
SNORA21	-2.79	0.0171344
IL11	2.56	0.0171572
LOC389199	1.9	0.0171658
SPRR3	2.99	0.0171763
EIF4EBP2	2.33	0.0171786
LOC101927495	-2.48	0.0172196
NKX3-2	2.97	0.0172676
TRIML2	2.17	0.0173471
BCL6	1.91	0.0173619
HNRNPA2B1	2.01	0.0174216
LOC101927811	2.72	0.0174482
LOC100288860	2.2	0.0174593
COL1A1	-2.38	0.0174635
TUBAL3	2.95	0.0174837
IMPG1	-2.63	0.0175299
KIF16B	-2.74	0.0175661
DUSP4	3.19	0.017629
MYO16	2.91	0.0176658
LOC285593	-1.96	0.0176725
EPB41L4B	1.95	0.0176861
PTPRT	2.16	0.017708
LOC100507033	2.01	0.0177469
SLC6A3	-2.15	0.0177521
HEXDC	-1.76	0.0177945
RNF144B	-2.72	0.0178519
FAM20C	3.28	0.0178596
LINC00664	1.86	0.0178672
HOXA7	2.82	0.01787
NELL1	1.74	0.017872
GNAT3	-2.18	0.0178766
ASB4	3.33	0.0178957
KLHDC7B	2.14	0.0179197
ALG3	2.22	0.0179281
TGIF2	3.51	0.0179447
OR51B5	3.11	0.0179458
ZNF628	1.76	0.0179603
M1AP	3.21	0.0179975
A2M	-1.88	0.0180087
EGR1	3.11	0.018024
ECSCR	-1.87	0.0181148
DSG3	-2.92	0.0181154
LOC100506236	2.59	0.0181683
SCNN1A	-2.84	0.0181829
LINC01016	2.96	0.0181831
CD84	-3.0	0.0181859
PPP1R11	2.59	0.0182003
DDIAS	-2.6	0.0182387
LOC642620	-2.13	0.0182677
POFUT2	-2.25	0.0183021
TXK	-1.85	0.0183509
INPP5B	-1.87	0.0184008
CEACAM3	-1.82	0.0184357
NEK11	2.27	0.0184554
PCDHGB8P	-2.59	0.018486
ADGRF1	-2.23	0.0184917
DEAF1	-2.21	0.0185075
EVI5L	2.18	0.0185381
ADAMTSL1	1.76	0.0185833
NUDC	-2.03	0.0186093
TIMM8B	1.9	0.0186491
LOX	-2.82	0.0186622
ZNF777	-1.75	0.0186923
FOXA2	-2.88	0.0186925
LOC100505685	2.47	0.0187082
TSC22D2	2.06	0.0187325
TAT	2.33	0.0187329
LINC00226	-2.64	0.0188656
ZPBP2	-2.35	0.0188888
ZFAND5	-2.96	0.0189128
MTHFSD	-2.74	0.0189286
TNXB	-2.55	0.0189395
RARA	2.62	0.0189807
OGFR	2.12	0.0190041
ERICH1	-2.26	0.0190054
CA1	1.78	0.0190277
LOC101927278	-2.09	0.0191372
LINC00622	1.91	0.0191414
CTAG2	1.94	0.0191421
WNK1	-2.94	0.0191422
GP5	3.16	0.0191626
SIX5	1.88	0.0191644
ANKUB1	-1.97	0.0191789
TMEM218	-2.56	0.0192312
RPRML	3.33	0.019302
CD3D	3.15	0.0193085
EYA1	1.83	0.0193143
TMPRSS11D	2.51	0.0193147
LOC101928475	2.8	0.0193179
BEAN1	1.81	0.0193258
ZBTB7C	2.35	0.0193327
DCLK1	-1.75	0.0193476
ZXDC	2.07	0.019408
UPK2	1.92	0.0194529
INSL6	-2.0	0.0194746
LYZL1	-2.51	0.0195098
GUCY2C	3.01	0.0195142
PPTC7	2.14	0.0195251
TRUB1	3.08	0.0195316
LOC101926962	2.9	0.0195385
ITSN2	1.75	0.0195603
ZNF678	3.05	0.0195684
ALG5	1.78	0.019604
NCOA3	-2.19	0.0196041
EPB41L4A	2.97	0.0196215
KRTAP13-1	3.7	0.0196294
FPGS	-1.94	0.0196736
STIP1	1.76	0.0196849
MAP4K1	-1.9	0.0197044
DNAH11	-3.57	0.0197087
ANGPTL8	-2.34	0.0197283
PCGF3	-1.89	0.0197413
LOC100131860	-2.38	0.0197545
LOC101928817	1.81	0.0197716
CDKL5	-1.74	0.0197815
LINC01622	2.4	0.0197889
IQGAP3	2.11	0.0198281
EEF1A1	1.7	0.0198284
DPEP2	-3.26	0.019843
UBE3B	-2.29	0.019881
RBM46	3.22	0.0199101
ADAM8	3.22	0.0199239
MGP	-2.46	0.0199447
SLC9A3R2	1.73	0.0199559
MGC16275	-2.44	0.0200083
CR1L	2.36	0.0200145
DKFZP547J222	-2.22	0.0200443
LOC91548	1.74	0.0200558
NPHP1	3.35	0.0200611
CRAMP1	-2.65	0.0201058
EHD4	-2.17	0.0201087
NSUN7	-2.21	0.0201094
GUCA1C	-1.74	0.0201262
CYP2A13	2.38	0.0202045
FABP6	3.14	0.0202062
CD28	1.86	0.0202524
MUC5AC	2.24	0.0202538
HOXA10	4.38	0.0202828
BTN2A2	2.62	0.020386
MMP27	2.05	0.0204185
TEX9	3.14	0.020448
CWH43	-1.86	0.0204528
ARL10	-1.84	0.0204554
LINC00454	-1.74	0.020469
LOC100128554	2.82	0.0204891
NAALAD2	4.73	0.0205041
FRG2EP	1.89	0.0205133
LINC00672	2.52	0.0205652
TARSL2	-2.91	0.0205696
IRF4	1.85	0.0206181
LINC-PINT	-2.36	0.0206311
GRIN2A	2.33	0.020637
SLC22A18AS	2.3	0.0206384
STON2	-1.69	0.0206385
DNAH9	1.77	0.0206796
WWOX	-1.79	0.0206929
DAPL1	-2.98	0.0207033
LOC101927851	-2.69	0.0207146
EIF1B-AS1	2.0	0.0207274
LOC100507520	-2.05	0.0207806
D2HGDH	2.14	0.0207974
TMEM26-AS1	1.81	0.0208204
FBXO21	2.1	0.0208305
LOC100129603	-2.07	0.0209108
LINC00305	-2.0	0.0209373
LINC00689	3.0	0.0209448
FOXC2	2.48	0.0209651
TEPSIN	1.98	0.0209802
PYCRL	-3.26	0.0210021
LGSN	-3.4	0.0210526
CALCA	-2.2	0.0211015
ITPK1	-1.8	0.0211249
METRN	-1.81	0.021165
CD58	2.21	0.0212204
NUSAP1	-3.32	0.0212266
ZNF518B	3.86	0.0212531
MINCR	1.96	0.0212542
NOVA2	-2.85	0.0214153
LOC728743	2.08	0.0214411
LINC00658	3.02	0.0214855
GPR6	2.64	0.0214938
C7ORF34	1.94	0.0215056
VSTM4	-2.41	0.0215456
TINAG	3.31	0.0215484
GPX2	2.94	0.0215571
MMP28	-2.32	0.0216169
CCNE1	2.02	0.0216585
TMPRSS15	2.99	0.0216714
NUP93	-1.97	0.0216744
RPAIN	3.43	0.0217078
HEATR6	1.69	0.0217101
TMC5	1.85	0.0217356
MCOLN2	1.94	0.0217484
LINC00982	2.38	0.0217646
RSU1P2	4.06	0.0217937
LIM2	-2.84	0.0218222
PTAR1	1.71	0.0218474
IL20RA	2.44	0.0219368
ZNF480	1.87	0.0219395
LOC100631378	2.83	0.0219441
GRIN1	1.84	0.0219532
PLEKHN1	-2.1	0.0219672
CACTIN	2.67	0.0219799
CACNG4	-1.87	0.0220061
HIC2	2.24	0.0220563
HRH2	-1.8	0.0220573
GALNT5	1.88	0.0220766
MANEA	-2.44	0.0220813
NUTM2A-AS1	-1.69	0.0221028
DSE	1.8	0.0221534
LOC100291666	2.46	0.0221552
KIAA1456	1.82	0.0221853
FAM99B	2.03	0.0221927
PCDHB17P	-2.49	0.0221974
CCDC57	-2.31	0.0222061
SEZ6	2.87	0.0222321
SAMD10	2.03	0.0222678
ZCWPW2	1.65	0.0222781
LOC100129098	2.11	0.0222992
ASCL2	2.87	0.0223256
ATP11A-AS1	-3.68	0.0223274
NUDT10	1.63	0.0224167
DIRAS1	1.77	0.022417
SERPINA7	2.8	0.0224182
POU4F3	-1.74	0.0224363
ZNF594	-1.64	0.022442
STAC	2.7	0.0225085
SEC16B	2.09	0.0225446
METTL26	1.98	0.022591
LOC151657	2.38	0.0225971
RGS10	-2.5	0.0226453
LOC101929450	1.73	0.022676
NUMA1	1.92	0.0227104
SLC9A2	1.91	0.022714
HPGD	-2.13	0.0227231
MYBBP1A	2.09	0.0227248
PCGEM1	3.09	0.0227669
CEP152	2.43	0.0227691
RERGL	-1.92	0.0228057
FAM84A	1.99	0.0228058
TCERG1L	3.03	0.0228274
ARHGAP36	1.73	0.0228445
TSPAN12	-2.32	0.0228719
PMCH	1.84	0.022875
LOC101928728	-3.34	0.0228905
IL10	2.03	0.0229751
GAGE1	-2.51	0.0230233
ATP6V0D2	2.12	0.023074
RASGEF1A	2.58	0.0230779
LOC101929718	1.71	0.0230995
FGB	2.12	0.023108
SLC26A10	1.69	0.0231257
LOC101929745	1.97	0.0232233
PTPRC	1.68	0.0232291
C17ORF89	1.7	0.0232528
TSSK4	3.15	0.0232879
PIGG	2.43	0.0233016
SOCS7	3.37	0.0233239
LIN7A	1.8	0.0233508
MS4A15	2.26	0.0233871
HBM	-3.39	0.0233925
SUZ12	1.64	0.023397
EIF1	2.2	0.0234027
LOC400965	-2.55	0.0234296
AK7	-2.08	0.0234314
HSD3B1	-1.99	0.0234459
CISH	2.46	0.0234745
LOC101929726	-1.83	0.0235643
METTL15	2.85	0.0236889
BREA2	1.89	0.0237143
HRH1	1.67	0.0237608
ERG	1.74	0.0237685
TMEM204	-2.28	0.0238095
LOC101060400	2.3	0.023857
OR2J3	3.26	0.023863
ZDHHC3	2.51	0.0238802
KLHL31	2.36	0.0239506
NOP14-AS1	1.74	0.0239788
CXCL1	-2.16	0.0240132
ZBTB46	2.05	0.0240347
CAMK2A	2.5	0.0240572
ABRA	1.92	0.0240756
IL21R	2.57	0.0241602
LOC105371352	-2.2	0.0241622
PGC	1.69	0.0241865
IDS	2.92	0.0242018
LOC101928896	-1.63	0.024208
ICA1	1.88	0.0242639
PDC	1.59	0.0243058
RPS11P6	3.03	0.0243167
CTHRC1	-1.78	0.0243278
UNC45B	-2.16	0.0243802
ATN1	1.6	0.0243907
KIF1A	1.94	0.0243989
SNED1	-1.62	0.0244336
FBXL18	1.99	0.0244354
PRSS33	3.23	0.0245526
LIPH	3.54	0.0245778
LENEP	2.12	0.0245819
LAMC2	4.77	0.0246285
TBX5	1.89	0.0246405
LOC101927411	-1.72	0.0246816
TMEM44	-2.16	0.0246927
PHACTR2-AS1	-2.48	0.0247046
KCNA1	3.87	0.0247164
WDR19	2.47	0.0247165
COL8A1	-1.71	0.0247264
MIR4435-2HG	3.63	0.0248784
TOR1AIP2	1.63	0.0249097
FCGR3B	1.73	0.0249102
AGBL4	3.75	0.0249339
IQCH-AS1	2.78	0.0249762
SYNJ2	2.13	0.0249914
HSPH1	1.59	0.025113
LOC101927606	1.79	0.025135
CDH1	3.37	0.0251482
MGAT4EP	1.98	0.0251634
CALML4	-1.86	0.0251873
LOC107984282	1.96	0.0252103
ACSM3	-1.59	0.0252118
ZNF568	1.63	0.0252338
DNAJC5B	1.59	0.0253001
LOC105374587	3.04	0.0253033
HAB1	1.9	0.0253186
SMOC2	-2.28	0.0253401
C21ORF58	-2.18	0.0253934
LOC285847	2.74	0.0254143
EGOT	2.17	0.0254381
GSC2	-2.56	0.0254741
STXBP5L	2.38	0.0254958
TACO1	1.74	0.0255148
ZNF3	1.6	0.0255729
BAALC-AS2	1.59	0.0256336
ATF2	1.82	0.0256429
CFI	-2.25	0.0256792
CACNG7	1.59	0.0257072
ZNF316	-2.1	0.0257429
TSPAN18	3.58	0.025743
CST3	-2.58	0.0258027
CACNA1E	2.8	0.0258055
SLC7A3	3.23	0.0258114
CIDEB	2.02	0.0258117
LOC101927792	-1.77	0.0258436
DIAPH1	2.43	0.0258862
C11ORF58	1.81	0.0259
SOX1	1.93	0.0259134
CYP17A1	-3.15	0.0259246
BIVM	2.42	0.0259257
CMTM6	2.31	0.0259783
PUM2	-1.99	0.0259811
ZFP64	1.71	0.0260254
CPA1	-2.4	0.0260382
CDH6	2.92	0.0261327
CPLX3	1.84	0.0261456
TPM2	-2.37	0.0262571
DCN	-1.6	0.0262582
LOC101929297	1.55	0.0262846
MCPH1	1.87	0.026293
MAGEB18	-4.52	0.0263145
MEG3	-2.83	0.0263465
SSH1	1.61	0.0263482
LOC645513	-3.12	0.0263562
TNPO2	-2.26	0.0263586
TAF15	2.8	0.02637
ESPN	2.86	0.0263708
PPP1R1A	1.56	0.0263771
ARG2	1.82	0.0263863
FGF23	3.0	0.0264011
DCAF8	-3.03	0.026435
KMO	3.1	0.0264404
CDKN2A	2.01	0.0264931
TMEM131	3.32	0.0265572
KRTAP1-1	1.67	0.0265714
BORCS6	1.87	0.0265774
PTK7	-2.61	0.0265975
ITM2A	-1.58	0.0266036
ST6GALNAC4	-1.96	0.0266925
SYT12	2.87	0.0266965
FANCB	1.7	0.026726
SIRPG	-3.69	0.0267265
PIK3R2	1.55	0.0267522
CNTFR-AS1	3.69	0.0267788
SLC23A1	2.85	0.0267967
SLC24A1	-3.17	0.0268083
SCN8A	3.83	0.0268255
LOC101928973	-2.74	0.0268351
CHERP	2.17	0.026845
TCF3	1.99	0.0268749
RGS5	-1.69	0.0268866
BLVRA	-1.69	0.0268967
HOXA-AS2	2.26	0.0269585
TMEM106C	1.66	0.0269702
SNX20	-2.23	0.0270133
RNF213	-2.1	0.0270251
NPR2	1.57	0.0270499
ARID1B	3.51	0.0270576
CALCR	2.8	0.0270734
MCMDC2	-3.16	0.0270929
FAM117B	2.47	0.0270951
LOC100130111	3.68	0.0271333
UBQLNL	-2.6	0.0271557
STRADA	-2.26	0.0271684
STK11	-1.9	0.027177
LOC284930	2.52	0.0271834
SV2C	-1.97	0.027193
NPFFR1	-2.04	0.0272516
FGF5	2.46	0.0272741
YOD1	1.61	0.0273043
SF3B2	1.53	0.0273406
MED28	-1.97	0.0274703
LCN8	2.01	0.0274707
LINC01267	2.79	0.0274734
CDKL1	1.69	0.0275092
RHOB	-1.59	0.027511
TRPM4	-1.96	0.0275127
CYP51A1-AS1	-2.36	0.0275227
HKDC1	2.31	0.0275408
ARHGEF40	1.61	0.0275499
F12	-2.47	0.0275772
LOC101928238	-2.29	0.0275798
DEUP1	4.21	0.0275947
BEST3	3.45	0.0276012
RCL1	2.04	0.0276166
CYP4A11	-1.95	0.0276415
PCSK6	2.12	0.0276569
VWF	-2.11	0.027724
HES6	-1.79	0.0277406
HCG18	1.8	0.0277811
RBBP6	3.1	0.0277966
CLUAP1	1.92	0.0278041
COL5A2	-2.55	0.0278068
LINC00643	4.42	0.0278136
DGKE	3.37	0.0278434
LOC729652	-2.54	0.0278754
CLEC2L	2.09	0.0278764
CP	-1.92	0.0279215
S100A13	2.04	0.0279781
FAHD2CP	-1.81	0.0279797
DYDC2	2.17	0.0279838
GYS2	-1.52	0.0279871
MAP3K2	1.73	0.0280038
OR3A1	-1.88	0.0280468
CARD14	-1.78	0.028069
ENDOV	-2.13	0.0280907
GGA1	1.7	0.0281226
RABGAP1L	-2.05	0.0281338
HEATR4	3.43	0.0281757
TOR2A	1.64	0.0281872
TAL1	-1.56	0.0282134
FUT9	4.07	0.0282413
EMC3	2.46	0.0282717
SNX25	-2.3	0.028277
RPL13AP17	-1.87	0.0283171
AQP4-AS1	-2.11	0.0283463
LZTS2	1.88	0.0283479
RAB12	-2.0	0.0283496
INE1	2.47	0.0283876
LYG2	2.34	0.0284041
LRRC52	2.64	0.0285053
ZNF440	2.18	0.0285155
ARHGAP42	-2.18	0.0285351
DHX35	2.18	0.0285963
KIF27	-2.68	0.0286103
MMP25	2.98	0.0286557
ESR2	2.02	0.028676
RALGAPA1	2.05	0.0286942
ATP1B3	1.58	0.0287282
DNAJC21	2.09	0.02877
DLEC1	-2.49	0.0287796
DNAJC9-AS1	1.57	0.028783
LOC101927406	2.9	0.0289128
MS4A12	2.48	0.028935
MMP2	-1.89	0.0289663
KLF14	-1.59	0.0289703
CST9L	-1.72	0.0289723
STAR	1.95	0.0291158
KIAA1109	2.69	0.0291162
LOC101927359	-1.82	0.0291283
ASIC5	-3.32	0.0291949
C2ORF71	-2.61	0.0292111
NCOR2	-2.03	0.0292189
CST8	2.14	0.0292723
BAG6	1.71	0.0292977
SYN2	2.9	0.0293058
FN1	-1.86	0.0293255
ZC2HC1B	2.38	0.0293271
ASB1	-2.41	0.0293288
ZFYVE9	1.56	0.0293344
PTMS	2.37	0.0293365
FRAS1	1.6	0.0293584
EEF1E1	1.53	0.0293849
RAPGEFL1	1.8	0.0293896
MYO10	1.59	0.0294409
TOR1AIP1	4.59	0.0294439
SCAMP5	2.42	0.0295243
TSPYL1	3.2	0.029568
KIAA1257	-2.24	0.0295697
SEPT5-GP1BB	2.96	0.0295759
CD300LG	-1.55	0.0295991
KIF1C	2.02	0.0296026
OR2B6	2.53	0.0296337
RNASE7	2.74	0.0296404
FOXD4	2.33	0.0296687
ZNF71	-1.97	0.0296718
GABRA3	3.34	0.0296736
LINC01252	1.65	0.0297138
TRDN	-2.58	0.029734
ETNK1	4.21	0.0297814
TROAP	1.73	0.0297927
ADPRHL1	1.62	0.0298232
MYO3A	-3.02	0.0298543
TEX11	2.04	0.0298562
CSPG5	2.16	0.0298607
C1ORF194	1.55	0.0298701
F13A1	-1.98	0.0298804
ZNF41	3.0	0.0299005
RELL1	1.85	0.0299451
SLC2A3	1.91	0.029946
SLC26A7	3.69	0.0299493
KCP	-2.13	0.0299686
FOSL2	2.07	0.0300624
GIMAP8	-2.01	0.0300689
PDZRN3-AS1	3.11	0.0300749
TGFBRAP1	1.65	0.0301651
LOC100129503	2.03	0.0301712
PPP1R14C	3.27	0.0302276
ARHGEF39	3.39	0.0302902
ADORA2A-AS1	2.13	0.0303069
LINC01330	-2.38	0.0303368
MOBP	-2.36	0.0303378
MCTP2	2.02	0.0303739
LOC100507461	3.47	0.0304648
TBC1D16	1.67	0.0304836
CXCL9	1.49	0.0305802
CD6	-2.04	0.0306044
ENPP3	3.52	0.0306868
ERVV-1	2.31	0.0307789
STOML3	2.39	0.0308451
SRC	1.75	0.0308578
EWSAT1	-1.97	0.0308641
RCE1	1.71	0.0308988
IL2RG	1.69	0.0309163
HIPK1	1.62	0.0309621
BFSP2	2.07	0.0309716
IRGQ	2.0	0.0310023
TP53I11	3.09	0.0310421
GSR	1.52	0.0311121
ANKRD30BP3	1.49	0.0311561
CELF5	1.52	0.0311872
OR1J4	3.56	0.0311896
VWA3B	2.36	0.0312013
MAST4	2.9	0.0313097
PRKAG2	-1.71	0.0313436
PMS2P4	2.67	0.0313541
HTR1F	-2.07	0.0313624
LOC642696	2.45	0.0313865
XBP1	1.5	0.0314025
CXCL10	1.82	0.0314187
ELFN1-AS1	1.66	0.0314538
PDLIM5	-1.73	0.0314954
UPK3B	2.23	0.0315131
LOC101930114	-1.65	0.0315152
TNRC6A	2.39	0.0315343
CFC1	1.98	0.0315714
LRRC75B	-2.09	0.0316423
ITGAD	2.6	0.031652
RIPPLY3	1.49	0.0316748
DSG2-AS1	1.89	0.0316789
ZNF740	2.23	0.0316891
LSM11	1.52	0.0317066
TMEM171	3.41	0.0317954
SMARCA4	1.56	0.0318135
SMARCA2	1.94	0.0318144
SLC10A4	-1.87	0.0318966
IRX4	1.58	0.0319278
SPIN3	1.67	0.0319297
GFPT1	1.67	0.032049
CD44	1.8	0.0320608
LINC00507	-3.3	0.0320749
LEMD1-AS1	-1.83	0.0321381
NRG1-IT1	2.11	0.032159
C10ORF53	2.5	0.0321885
VWA5B2	1.62	0.0321943
ECE2	1.69	0.0322442
SERINC2	1.63	0.0322504
LOC414300	1.74	0.0322596
C16ORF46	2.18	0.0322609
MICAL3	2.24	0.0323101
TTN-AS1	-3.07	0.0324552
ZMYND15	1.69	0.0324598
CASC15	4.62	0.0324827
UPP2	3.76	0.0325424
TPTE2P6	-2.88	0.0326238
SLC13A2	-2.0	0.0326709
CROCCP2	-1.86	0.0326854
PCBP2	1.48	0.0327225
MACROD2-AS1	1.73	0.0327616
MUC3A	1.69	0.0328627
UMPS	-2.58	0.0328798
LINC00424	4.14	0.0329261
GSTA1	-2.37	0.032958
ZC3H12B	-2.22	0.0329723
ST7-OT4	2.54	0.0329993
LOC101928343	1.95	0.0330025
ADARB2	-1.88	0.0330114
MNX1-AS1	1.44	0.0330241
ZNF765	-2.2	0.0331059
NISCH	-1.9	0.0331535
NENF	-2.07	0.0331606
SOBP	1.88	0.0331686
C16ORF59	1.53	0.033174
GRHL2	1.55	0.0331933
EPHA6	3.6	0.0332152
GART	1.61	0.0332636
FAM222A-AS1	1.68	0.0332771
PBXIP1	-1.59	0.0333043
PLA2G3	1.62	0.0333056
LINC00556	3.11	0.0333064
WNT5B	2.42	0.033358
DCAF1	1.89	0.0333626
FABP3	1.97	0.0333809
TLX2	2.63	0.0334423
COLEC11	1.83	0.0334841
GATM	1.6	0.0335122
CHML	2.39	0.0335233
MPEG1	-1.62	0.033554
RPL3L	3.0	0.0335867
PWRN2	-2.74	0.0335917
MICALCL	2.94	0.0336597
LRRC57	-1.64	0.0336653
EPOR	2.35	0.0336793
LOC101927085	1.69	0.0336908
MAFF	2.84	0.0336976
LOC389332	1.44	0.0337359
MYCBPAP	2.22	0.0338373
HTR4	2.51	0.0339056
SRD5A3	-1.76	0.0340237
PGLYRP3	-1.76	0.0340786
MEIOC	2.03	0.0340864
ARMCX4	1.77	0.0341287
TPM1	-1.69	0.0341564
MTHFR	2.41	0.0341723
LOC101559451	1.52	0.034188
CCDC87	-1.76	0.0341988
TRIM50	-1.81	0.0342252
ISLR	-2.27	0.0342944
RELT	2.29	0.0343371
TM4SF1	2.21	0.0343613
OSBPL3	-1.56	0.0343984
CHRNB3	-2.56	0.0344329
EMB	-1.49	0.0344334
LINC00923	-2.47	0.0344471
EMP2	-2.31	0.0344538
ODF3B	-1.91	0.0344647
PSORS1C1	2.13	0.0345774
ITPR2	1.56	0.0346249
C2ORF83	1.86	0.0346481
ATP6V1C2	1.69	0.0346542
C11ORF96	1.66	0.0346558
FSD1L	-1.82	0.0347108
GPR180	1.57	0.0347409
LOC285692	2.64	0.0347415
NPAS2	2.42	0.034745
WWC1	1.72	0.0348357
SGCB	-1.45	0.0348989
TMEM116	-1.54	0.0349149
ALAS2	1.97	0.0349459
FGA	-1.42	0.0349547
FKBP10	-2.07	0.0349929
BMPR1B	-2.49	0.0350005
GPR1-AS	-2.37	0.0350135
LOC101928491	2.99	0.0350615
ANKRD31	1.6	0.0351195
PROM2	-1.69	0.0351612
CLDN10-AS1	3.84	0.0351672
PHC3	-1.51	0.0353152
CTSV	-1.92	0.035348
ALPPL2	2.29	0.0354171
LOC101928943	3.1	0.0354704
LOC101927143	1.76	0.0354837
PARD6G	2.59	0.035486
THSD4	-1.82	0.0354978
HOXB13	1.98	0.0354992
CYP2C18	3.58	0.0355217
CD96	3.12	0.0356301
PDK4	-2.76	0.0356619
SI	4.18	0.0356692
RUFY2	-1.43	0.0356906
SLC6A17	1.88	0.035726
IGF1	2.55	0.0357455
HOXB-AS3	-1.98	0.0357942
LINC00958	2.28	0.0357946
CDY1	-1.79	0.0358
ZBTB7B	1.55	0.0358024
RFTN1	2.47	0.0358038
CDC6	2.15	0.0358202
RAP1A	2.11	0.0358363
DST	-1.57	0.0358832
RANBP10	-1.77	0.0358999
SLC14A2-AS1	-1.71	0.0359417
HIST1H4L	2.04	0.0359505
TFRC	-1.69	0.0359644
SLX4	2.16	0.0360139
TERB1	2.33	0.0360188
GAS5-AS1	-2.27	0.0360214
MED14OS	-1.54	0.0360418
IPO9-AS1	2.86	0.0360452
EPHB1	3.29	0.0360655
S100A6	1.58	0.0361
TIMD4	-1.64	0.0361423
IL31RA	1.89	0.03615
ANGPT2	1.58	0.0361785
ARHGAP35	1.49	0.0361796
LOC101927089	2.21	0.036188
ACKR2	-1.52	0.0361901
REPIN1	1.47	0.0361956
C9	2.05	0.0362318
SMR3A	3.35	0.0362427
ZBTB7A	-2.25	0.0362741
LOC105372881	1.6	0.0362778
FAM53B-AS1	-1.72	0.0362956
LOC101929180	2.08	0.0363366
GAS6-AS1	-2.3	0.0363494
LOC101927365	2.1	0.0363685
LOC101926943	-2.26	0.0364211
